Word 	 	 	 	 	 Count====================================
a	 	 	 	     627
abide	 	 	 	 	10
about	 	 	 	 	445
above	 	 	 	 	15
absurd	 	 	 	 	6
accept	 	 	 	 	6
acceptance	 	 	 	 	10
accepted	 	 	 	 	8
accepting	 	 	 	 	9
access	 	 	 	 	60
accessible	 	 	 	 	10
accident	 	 	 	 	8
accidentally	 	 	 	 	12
accordance	 	 	 	 	10
account	 	 	 	 	7
accounting	 	 	 	 	10
accounts	 	 	 	 	8
accustomed	 	 	 	 	10
across	 	 	 	 	24
act	 	 	 	 	3
active	 	 	 	 	12
actually	 	 	 	 	8
added	 	 	 	 	100
addition	 	 	 	 	8
additional	 	 	 	 	30
additions	 	 	 	 	9
address	 	 	 	 	7
addressed	 	 	 	 	9
adoption	 	 	 	 	8
advance	 	 	 	 	7
advantage	 	 	 	 	18
adventures	 	 	 	 	80
advice	 	 	 	 	6
advisable	 	 	 	 	9
advise	 	 	 	 	6
affectionately	 	 	 	 	14
afford	 	 	 	 	6
afore	 	 	 	 	5
afraid	 	 	 	 	54
after	 	 	 	 	190
again	 	 	 	 	60
against	 	 	 	 	70
age	 	 	 	 	6
agent	 	 	 	 	5
agony	 	 	 	 	5
agree	 	 	 	 	55
agreed	 	 	 	 	6
agreement	 	 	 	 	63
air	 	 	 	 	6
alarm	 	 	 	 	5
alarmed	 	 	 	 	7
alas	 	 	 	 	4
alice	 	 	 	 	1065
alive	 	 	 	 	5
all	 	 	 	 	495
allow	 	 	 	 	15
almost	 	 	 	 	42
alone	 	 	 	 	15
along	 	 	 	 	25
already	 	 	 	 	14
also	 	 	 	 	12
alternate	 	 	 	 	9
alternately	 	 	 	 	11
altogether	 	 	 	 	10
always	 	 	 	 	72
am	 	 	 	 	24
among	 	 	 	 	50
an	 	 	 	 	106
ancient	 	 	 	 	7
and	 	 	 	 	2316
anger	 	 	 	 	5
angrily	 	 	 	 	14
angry	 	 	 	 	10
animal	 	 	 	 	6
animals	 	 	 	 	21
another	 	 	 	 	140
answer	 	 	 	 	36
answered	 	 	 	 	24
anxious	 	 	 	 	14
anxiously	 	 	 	 	117
any	 	 	 	 	183
anyone	 	 	 	 	18
anything	 	 	 	 	112
anywhere	 	 	 	 	24
appealed	 	 	 	 	8
appear	 	 	 	 	12
appeared	 	 	 	 	24
appearing	 	 	 	 	18
applicable	 	 	 	 	30
apply	 	 	 	 	5
approach	 	 	 	 	8
arch	 	 	 	 	4
archbishop	 	 	 	 	20
arches	 	 	 	 	18
archive	 	 	 	 	84
are	 	 	 	 	171
argued	 	 	 	 	6
argument	 	 	 	 	32
arguments	 	 	 	 	9
arise	 	 	 	 	5
arm	 	 	 	 	21
arms	 	 	 	 	20
around	 	 	 	 	12
array	 	 	 	 	5
as	 	 	 	 	494
ashamed	 	 	 	 	14
ask	 	 	 	 	21
asked	 	 	 	 	40
asking	 	 	 	 	18
asleep	 	 	 	 	24
assembled	 	 	 	 	18
assistance	 	 	 	 	10
associated	 	 	 	 	70
at	 	 	 	 	416
ate	 	 	 	 	3
atheling	 	 	 	 	8
atom	 	 	 	 	8
attached	 	 	 	 	8
attempt	 	 	 	 	7
attempted	 	 	 	 	9
attended	 	 	 	 	8
attending	 	 	 	 	18
attends	 	 	 	 	7
authority	 	 	 	 	18
available	 	 	 	 	9
avoid	 	 	 	 	5
away	 	 	 	 	68
awfully	 	 	 	 	7
baby	 	 	 	 	24
back	 	 	 	 	112
backs	 	 	 	 	5
bad	 	 	 	 	3
baked	 	 	 	 	5
balanced	 	 	 	 	8
balls	 	 	 	 	5
bark	 	 	 	 	8
barking	 	 	 	 	7
barrowful	 	 	 	 	18
based	 	 	 	 	10
bathing	 	 	 	 	7
bats	 	 	 	 	4
bawled	 	 	 	 	6
be	 	 	 	 	282
beasts	 	 	 	 	6
beat	 	 	 	 	16
beating	 	 	 	 	7
beautiful	 	 	 	 	72
beautifully	 	 	 	 	22
beautify	 	 	 	 	8
became	 	 	 	 	12
because	 	 	 	 	91
become	 	 	 	 	30
beds	 	 	 	 	4
been	 	 	 	 	132
before	 	 	 	 	126
beg	 	 	 	 	24
began	 	 	 	 	225
begged	 	 	 	 	6
begin	 	 	 	 	30
beginning	 	 	 	 	108
begins	 	 	 	 	24
begun	 	 	 	 	25
beheading	 	 	 	 	9
behind	 	 	 	 	72
being	 	 	 	 	90
believe	 	 	 	 	56
believed	 	 	 	 	8
belong	 	 	 	 	6
belongs	 	 	 	 	14
beloved	 	 	 	 	7
below	 	 	 	 	5
belt	 	 	 	 	4
bend	 	 	 	 	4
bent	 	 	 	 	4
besides	 	 	 	 	7
best	 	 	 	 	32
better	 	 	 	 	66
between	 	 	 	 	28
bill	 	 	 	 	4
bird	 	 	 	 	4
birds	 	 	 	 	30
birthday	 	 	 	 	8
bit	 	 	 	 	21
blades	 	 	 	 	6
blame	 	 	 	 	5
blasts	 	 	 	 	12
blew	 	 	 	 	8
blow	 	 	 	 	8
blown	 	 	 	 	5
blows	 	 	 	 	5
body	 	 	 	 	8
bone	 	 	 	 	4
bones	 	 	 	 	5
book	 	 	 	 	12
boots	 	 	 	 	15
bore	 	 	 	 	4
both	 	 	 	 	60
bother	 	 	 	 	6
bottle	 	 	 	 	42
bottom	 	 	 	 	24
bough	 	 	 	 	5
bound	 	 	 	 	15
bowed	 	 	 	 	15
bowing	 	 	 	 	6
box	 	 	 	 	9
boxed	 	 	 	 	5
branch	 	 	 	 	6
branches	 	 	 	 	8
brave	 	 	 	 	5
breach	 	 	 	 	12
break	 	 	 	 	5
breathe	 	 	 	 	7
breeze	 	 	 	 	6
bright	 	 	 	 	42
brightened	 	 	 	 	20
bring	 	 	 	 	10
bringing	 	 	 	 	24
bristling	 	 	 	 	9
broke	 	 	 	 	10
